# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H40,2100-2199,4/6/2017,13,1,Theft,Office Building,CRAWFORD,-,ST
1,10H40,1500-1599,4/6/2017,22,1,Theft,,HADLEY,-,ST
1,10H40,3300-3399,4/7/2017,00,1,Robbery,"Road, Street, or Sidewalk",CAROLINE,-,ST
1,10H40,2500-2599,4/7/2017,00,1,Theft,"Hotel, Motel, Inn, Etc.",HAMILTON,-,ST
1,10H40,3200-3299,4/7/2017,10,1,Theft,"Road, Street, or Sidewalk",MAIN,-,ST
1,10H40,1700-1799,4/7/2017,04,1,Burglary,Bar or Night Club,WEBSTER,-,ST
1,10H40,800-899,4/6/2017,08,1,Theft,Commercial Parking Lot or Garage,STUART,-,-
1,10H40,2100-2199,4/3/2017,21,1,Robbery,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,700-799,4/1/2017,00,1,Theft,"Road, Street, or Sidewalk",BERRY,-,ST
1,10H40,800-899,4/1/2017,00,1,Theft,"Road, Street, or Sidewalk",BERRY,-,ST
1,10H40,2300-2399,3/31/2017,09,1,Theft,"Road, Street, or Sidewalk",LOUISIANA,-,ST
1,10H40,3600-3699,3/31/2017,00,1,Theft,"Road, Street, or Sidewalk",TRAVIS,-,-
1,10H40,2500-2599,3/31/2017,21,1,Robbery,"Road, Street, or Sidewalk",MAIN,-,ST
1,10H40,2100-2199,3/28/2017,12,1,Theft,Office Building,TRAVIS,-,-
1,10H40,1500-1599,3/28/2017,16,1,Theft,Department or Discount Store,HADLEY,-,ST
1,10H40,700-799,3/10/2017,15,1,Theft,Apartment,MCGOWEN,-,ST
1,10H40,2900-2999,3/12/2017,05,1,Robbery,"Road, Street, or Sidewalk",CRAWFORD,-,ST
1,10H40,1300-1399,4/1/2017,14,1,Theft,"Road, Street, or Sidewalk",WEBSTER,-,ST
1,10H40,1700-1799,4/1/2017,14,1,Theft,Restaurant or Cafeteria,WEBSTER,-,ST
1,10H40,2700-2799,4/1/2017,15,1,Theft,Specialty Store (Non-Specific),MAIN,-,ST
1,10H40,2100-2199,4/1/2017,22,1,Robbery,Service or Gas Station,FANNIN,-,ST
1,10H40,2100-2199,4/3/2017,12,1,Theft,Service or Gas Station,FANNIN,-,ST
1,10H40,2300-2399,4/3/2017,12,1,Theft,Apartment Parking Lot,MILAM,-,-
1,10H40,3600-3699,4/3/2017,03,1,Robbery,"Road, Street, or Sidewalk",MAIN,-,ST
1,10H40,2900-2999,4/30/2017,17,1,Theft,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,1000-1099,4/30/2017,09,1,Theft,"Church, Synagogue, or Temple",HOLMAN,-,-
1,10H40,400-499,4/29/2017,05,1,Theft,Restaurant or Cafeteria,RICHMOND,-,AVE
1,10H40,2800-2899,4/29/2017,06,1,Theft,"Road, Street, or Sidewalk",CAROLINE,-,ST
1,10H40,800-899,4/28/2017,21,1,Burglary,Apartment,ALABAMA,-,ST
1,10H40,2700-2799,4/29/2017,01,1,Theft,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,1800-1899,4/29/2017,10,1,Theft,Other Parking Lot,MCGOWEN,-,ST
1,10H40,800-899,4/24/2017,23,1,Theft,"Road, Street, or Sidewalk",STUART,-,-
1,10H40,3500-3599,4/25/2017,10,1,Theft,Apartment Parking Lot,TRAVIS,-,-
1,10H40,1500-1599,4/26/2017,10,1,Theft,Commercial Parking Lot or Garage,ALABAMA,-,ST
1,10H40,3200-3299,4/26/2017,10,1,Theft,"Road, Street, or Sidewalk",MILAM,-,-
1,10H40,3200-3299,4/25/2017,23,1,Theft,"Road, Street, or Sidewalk",MILAM,-,-
1,10H40,2100-2199,4/28/2017,01,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,FANNIN,-,ST
1,10H40,2700-2799,4/27/2017,22,1,Theft,Apartment Parking Lot,TRAVIS,-,-
2,10H40,3100-3199,4/27/2017,22,1,Theft,"Road, Street, or Sidewalk",LOUISIANA,-,ST
