Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H40,3400-3499,06/16/2017,08,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,1500-1599,06/16/2017,07,1,Theft,1,Other Parking Lot,ISABELLA,-,-
10H40,2100-2199,06/17/2017,07,1,Robbery,1,Service or Gas Station,FANNIN ST,-,ST
10H40,2500-2599,06/17/2017,03,1,Theft,1,"Road, Street, or Sidewalk",CAROLINE ST,-,ST
10H40,16400-16499,06/18/2017,23,1,AutoTheft,1,"Road, Street, or Sidewalk",SANDY MEADOWS,W,DR
10H40,400-499,06/18/2017,01,1,Theft,1,"Road, Street, or Sidewalk",145,W,-
10H40,2700-2799,06/18/2017,01,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,1100-1199,06/19/2017,02,1,Robbery,1,Service or Gas Station,HADLEY ST,-,ST
10H40,3300-3399,06/19/2017,07,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,1700-1799,06/19/2017,13,1,Theft,1,Restaurant or Cafeteria Parking Lot,SUMMER,-,ST
10H40,1500-1599,06/20/2017,12,1,Theft,1,"Other, Unknown, or Not Listed",ALABAMA ST,-,ST
10H40,3400-3499,06/20/2017,16,1,Theft,1,Restaurant or Cafeteria Parking Lot,FANNIN ST,-,ST
10H40,1600-1699,06/21/2017,18,1,Theft,1,Convenience Store Parking Lot,WINDSOR ROAD,-,-
10H40,2600-2699,06/21/2017,14,1,Theft,1,"Other, Unknown, or Not Listed",TRAVIS,-,-
10H40,3600-3699,06/22/2017,09,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,2100-2199,06/22/2017,14,1,Theft,1,Bus Station,MAIN ST,-,ST
10H40,3700-3799,06/22/2017,16,1,Theft,1,Bar or Night Club,MAIN ST,-,ST
10H40,800-899,06/23/2017,09,1,Theft,1,Apartment Parking Lot,STUART,-,-
10H40,2900-2999,06/23/2017,09,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS,-,-
