# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,6B10,200-299,3/22/2017,11,1,Theft,Commercial Parking Lot or Garage,LITTLE YORK,E,RD
1,6B10,500-599,3/22/2017,08,1,Burglary,Restaurant or Cafeteria,LITTLE YORK,-,RD
1,6B10,100-199,3/23/2017,14,1,Theft,Miscellaneous Business (Non-Specific),LITTLE YORK,E,RD
1,6B10,5400-5499,3/23/2017,15,1,Theft,Strip Business Center Parking Lot,NORTH,-,FWY
1,6B10,7000-7099,3/23/2017,12,1,Theft,Restaurant or Cafeteria Parking Lot,AIRLINE,-,DR
1,6B10,100-199,3/23/2017,18,1,Burglary,"Church, Synagogue, or Temple",LITTLE YORK,W,RD
1,6B10,7800-7899,3/23/2017,21,1,Theft,Residence or House,AIRLINE,-,DR
1,6B20,5500-5599,3/16/2017,22,1,Theft,Driveway,CARINO,-,DR
1,6B20,6300-6399,3/17/2017,10,1,Theft,"Other, Unknown, or Not Listed",SHEPHERD,N,DR
1,6B20,5400-5499,3/18/2017,10,1,Theft,Apartment Parking Lot,WERNER,-,ST
1,6B20,6000-6099,3/17/2017,22,1,Robbery,Restaurant or Cafeteria,NORTH,-,FWY
1,6B20,7100-7199,3/17/2017,19,1,Burglary,Residence or House,DE PRIEST,-,ST
1,6B20,3100-3199,3/18/2017,23,1,Robbery,Apartment Parking Lot,LITTLE YORK,W,RD
1,6B20,1200-1299,3/19/2017,10,1,Theft,Apartment Parking Lot,TIDWELL,W,RD
1,6B20,1100-1199,3/19/2017,04,1,Theft,Driveway,COTTAGE OAK,-,LN
1,6B20,400-499,3/18/2017,17,1,Theft,Residence or House,PARKER,W,RD
1,6B20,2300-2399,3/18/2017,13,1,Theft,Apartment,TIDWELL,W,RD
1,6B20,3800-3899,3/11/2017,08,1,Burglary,Maintenance or Building Services,PINEMONT,-,DR
1,6B20,300-399,3/13/2017,00,1,Burglary,Residence or House,TROY,W,RD
1,6B20,6600-6699,3/12/2017,05,1,Theft,Hotel or Motel Parking Lot,MONTGOMERY,W,RD
1,6B20,800-899,3/12/2017,10,1,Burglary,"Church, Synagogue, or Temple",GRANVILLE,-,DR
1,6B20,1000-1099,3/13/2017,14,1,Theft,Residence or House,HOMER,-,ST
1,6B20,600-699,3/15/2017,03,1,Burglary,Convenience Store,PARKER,W,RD
1,6B20,800-899,3/14/2017,12,1,Burglary,Residence or House,LITTLE YORK,W,RD
1,6B20,1600-1699,3/14/2017,16,1,Robbery,Residence or House,WILBURFORCE,-,ST
1,6B20,2500-2599,3/14/2017,10,1,Burglary,"Vacant Other Residential (Apartment,Dorms)",DESOTO,-,ST
1,6B20,900-999,3/21/2017,15,1,Auto Theft,"Road, Street, or Sidewalk",GRANVILLE,-,DR
1,6B20,2400-2499,3/19/2017,16,1,Burglary,Residence or House,CARMEL,-,ST
1,6B20,800-899,3/19/2017,12,1,Burglary,"Church, Synagogue, or Temple",LITTLE YORK,W,RD
1,6B20,400-499,3/19/2017,11,1,Theft,Grocery Store or Supermarket,PARKER,W,RD
1,6B20,5600-5699,3/19/2017,14,1,Burglary,Residence or House,ROSSLYN,-,RD
1,6B20,800-899,3/20/2017,20,1,Theft,Residence or House,PAUL QUINN,-,ST
1,6B20,1500-1599,3/20/2017,15,1,Theft,Vacant Other Out Build/Monument/UnderConst,DESOTO,-,ST
1,6B20,500-599,3/20/2017,17,1,Theft,Residence or House,RITTENHOUSE,W,ST
1,6B20,1000-1099,3/1/2017,08,1,Theft,Driveway,WALL,-,ST
1,6B20,900-999,3/1/2017,08,1,Theft,Residence or House,BENCHFIELD,-,DR
1,6B20,700-799,3/3/2017,07,1,Theft,Residence or House,DILLARD,-,ST
1,6B20,800-899,3/7/2017,05,1,Burglary,"Laundry, Dry Cleaners, Washaterias",LITTLE YORK,W,RD
1,6B20,800-899,3/6/2017,10,1,Theft,Convenience Store Parking Lot,TIDWELL,W,RD
