Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H40,2200-2299,05/17/2017,00,1,Theft,1,"Road, Street, or Sidewalk",AUGUSTA DR APT 6009,-,-
10H40,4200-4299,05/17/2017,07,1,Robbery,1,Grocery Store or Supermarket Parking Lot,SAN JACINTO ST,-,ST
10H40,3600-3699,05/17/2017,08,1,Theft,3,"Road, Street, or Sidewalk",CHENEVERT,-,-
10H40,1100-1199,05/17/2017,09,1,Theft,1,"Road, Street, or Sidewalk",TUAM,-,-
10H40,900-999,05/17/2017,16,1,Theft,1,Commercial Parking Lot or Garage,ROSEWOOD,-,-
10H40,3000-3099,05/17/2017,20,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",TRAVIS,-,-
10H40,14500-14599,05/17/2017,22,1,Theft,1,"Road, Street, or Sidewalk",BAMMEL NORTH HOUSTON,-,RD
10H40,1000-1099,05/18/2017,14,1,Robbery,1,"Road, Street, or Sidewalk",ADAMS,-,-
10H40,4500-4599,05/18/2017,10,1,Theft,1,Other Parking Lot,TRAVIS,-,-
10H40,10700-10799,05/18/2017,12,1,AutoTheft,1,"Road, Street, or Sidewalk",FUQUA STREET APT,-,-
10H40,3000-3099,05/18/2017,18,1,Theft,1,Park and Ride Terminal,MURWORTH 808,-,-
10H40,1500-1599,05/19/2017,03,1,Theft,1,Bar or Night Club Parking Lot,WINBERN,-,-
10H40,3900-3999,05/19/2017,07,1,Theft,1,"Road, Street, or Sidewalk",ALMEDA RD,-,RD
10H40,4300-4399,05/19/2017,16,1,AutoTheft,1,Commercial Parking Lot or Garage,BASTROP,-,-
10H40,3700-3799,05/19/2017,13,1,Theft,1,Commercial Parking Lot or Garage,LA BRANCH,-,-
10H40,3700-3799,05/19/2017,14,1,Theft,1,Other Parking Lot,LA BRANCH,-,-
10H40,4400-4499,05/19/2017,09,1,Theft,1,"Other, Unknown, or Not Listed",SAN JACINTO ST,-,ST
10H40,2100-2199,05/20/2017,16,1,Theft,1,Restaurant or Cafeteria Parking Lot,FANNIN,-,ST
10H40,2400-2499,05/21/2017,07,1,Robbery,1,"Road, Street, or Sidewalk",CAROLINE ST,-,ST
10H40,2700-2799,05/21/2017,03,1,Theft,1,Apartment Parking Lot,TRAVIS,-,-
10H40,3200-3299,05/22/2017,11,1,Theft,1,Garage or Carport,AUSTIN ST,-,ST
10H40,3200-3299,05/22/2017,09,1,Theft,1,Driveway,AUSTIN ST,-,ST
10H40,2400-2499,05/22/2017,09,1,Theft,1,"Road, Street, or Sidewalk",CAROLINE,-,ST
10H40,100-199,05/23/2017,01,1,Robbery,1,"Road, Street, or Sidewalk",WEST GRAY,-,ST
10H40,1600-1699,05/24/2017,17,1,Theft,1,Commercial Parking Lot or Garage,MOONEY,-,RD
10H40,4500-4599,05/24/2017,17,1,Theft,1,Commercial Parking Lot or Garage,MAIN ST,-,ST
10H40,1000-1099,05/24/2017,10,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,4600-4699,05/24/2017,09,1,Theft,1,"Road, Street, or Sidewalk",WRIGHT,-,RD
10H40,13800-13899,05/25/2017,08,1,AutoTheft,1,Other Parking Lot,ELLA,-,BLVD
10H40,12800-12899,05/25/2017,00,1,Theft,1,"Road, Street, or Sidewalk",TOSCA LANE,-,-
10H40,2200-2299,05/25/2017,12,1,Theft,1,Commercial Parking Lot or Garage,SAINT EMANUEL,-,ST
10H40,2500-2599,05/25/2017,15,1,AutoTheft,1,Commercial Parking Lot or Garage,MAIN,-,ST
10H40,10400-10499,05/26/2017,00,1,Theft,1,Apartment,SPRING CIRCLE,-,-
10H40,3600-3699,05/26/2017,08,1,Theft,1,"Church, Synagogue, or Temple",MILAM,-,-
10H40,1000-1099,05/26/2017,17,1,Theft,1,Department or Discount Store,ELGIN,-,ST
10H40,3200-3299,05/27/2017,10,1,Theft,1,Garage or Carport,LOUISIANA ST,-,ST
10H40,7500-7599,05/27/2017,10,1,Burglary,1,Bar or Night Club,PEERLESS,-,ST
10H40,1100-1199,05/27/2017,01,1,Theft,1,"Road, Street, or Sidewalk",POST OAK BLVD.,-,-
10H40,2700-2799,05/27/2017,16,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,3200-3299,05/27/2017,15,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,1500-1599,05/28/2017,10,1,Theft,1,"Road, Street, or Sidewalk",ISABELLA,-,-
10H40,1900-1999,05/28/2017,12,1,Theft,1,Bar or Night Club,GRAY ST,-,ST
10H40,1000-1099,05/28/2017,12,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,2000-2099,05/30/2017,20,1,AutoTheft,1,Commercial Parking Lot or Garage,MAIN ST,-,ST
10H40,900-999,05/30/2017,10,1,Theft,1,Bar or Night Club,MCGOWEN ST,-,ST
10H40,2300-2399,05/31/2017,19,1,Theft,1,Garage or Carport,TRAVIS,-,-
10H50,15600-15699,05/01/2017,20,1,Robbery,1,"Road, Street, or Sidewalk",S. BRENTWOOD,-,-
10H50,3300-3399,05/02/2017,13,1,Theft,1,"Road, Street, or Sidewalk",SIMMONS,-,-
10H50,2300-2399,05/02/2017,11,1,Theft,1,Driveway,HADLEY ST,-,ST
10H50,3000-3099,05/02/2017,09,1,AutoTheft,1,Apartment Parking Lot,MILBY,-,-
10H50,2900-2999,05/02/2017,19,1,Theft,1,"Road, Street, or Sidewalk",CROSSVIEW D16,-,-
10H50,2300-2399,05/03/2017,14,1,Burglary,1,Residence or House,BASTROP ST,-,ST
10H50,2800-2899,05/04/2017,06,1,Burglary,1,Residence or House,ANITA ST.,-,-
10H50,4000-4099,05/05/2017,17,1,Robbery,1,"Road, Street, or Sidewalk",BURKETT ST,-,ST
10H50,2600-2699,05/05/2017,01,1,Theft,1,Residence or House,ROSALIE,-,ST
10H50,2900-2999,05/06/2017,11,1,Burglary,1,Miscellaneous Business (Non-Specific),ELGIN ST,-,ST
10H50,2400-2499,05/06/2017,09,1,Theft,1,"Road, Street, or Sidewalk",HOLMAN,-,-
10H50,4700-4799,05/06/2017,19,1,Theft,1,"Parks and Recreation, Zoo, Swimming Pool",CALHOUN RD,-,RD
10H50,3400-3499,05/07/2017,12,1,Burglary,1,Residence or House,LIVE OAK,-,-
10H50,2600-2699,05/08/2017,11,1,Theft,1,Hotel or Motel Parking Lot,NAPOLEON,-,-
10H50,3000-3099,05/09/2017,11,1,Theft,1,Residence or House,DREW ST,-,ST
10H50,2900-2999,05/09/2017,10,1,Burglary,1,Restaurant or Cafeteria,DOWLING,-,ST
10H50,3300-3399,05/09/2017,08,1,Burglary,1,Residence or House,NAPOLEON,-,-
10H50,2300-2399,05/10/2017,09,1,Theft,1,Driveway,HADLEY ST,-,ST
10H50,3000-3099,05/11/2017,10,1,Theft,1,"Road, Street, or Sidewalk",P O BOX 541081,-,-
10H50,3600-3699,05/12/2017,10,1,Robbery,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H50,2900-2999,05/13/2017,13,1,AutoTheft,1,"Road, Street, or Sidewalk",SAMPSON,-,-
10H50,2100-2199,05/13/2017,08,1,Theft,1,"Road, Street, or Sidewalk",BERRY,-,ST
10H50,2300-2399,05/14/2017,11,1,Theft,1,Bar or Night Club Parking Lot,PIERCE ST,-,ST
10H50,3300-3399,05/14/2017,12,1,Robbery,1,"Road, Street, or Sidewalk",REEVES,-,-
10H50,8500-8599,05/15/2017,11,1,Burglary,1,"Multi-Plex Home (Duplex,Triplex Etc.)",HARFORD MILLS,-,DR
